company_name,company_market_cap,company_employees,file_name
Mineral Water,Hong Kong,"['669', '514']",campaignindia
Shampoo,"China, Southeast Asia","['670', '620']",campaignindia
Fast-Food,Regional,"['671', '736']",campaignindia
Chocolate,Regional,"['672', '888']",campaignindia
Cigarette,"Australia, India","['673', '645']",campaignindia
White Goods,Regional,"['674', '819']",campaignindia
Insurance,Malaysia,"['675', '706']",campaignindia
Petrol/Gas Station,Singapore,"['676', '861']",campaignindia
Savoury Snack Food,"Hong Kong, Southeast Asia","['677', '765']",campaignindia
Consumer Electronics,India,"['678', '829']",campaignindia
Cigarette,Regional,"['679', '564']",campaignindia
Chocolate,Regional,"['680', '815']",campaignindia
Watch,"India, Southeast Asia, Japan","['681', '927']",campaignindia
Computer,Regional,"['682', '980']",campaignindia
Menâs Fashion Retailer,Japan,"['683', '593']",campaignindia
Shampoo,China,"['684', '785']",campaignindia
Milk,Thailand,"['685', '264']",campaignindia
Fragrance,Regional,"['686', '426']",campaignindia
Bank,Japan,"['687', '688']",campaignindia
Cosmetics,Regional,"['688', '698']",campaignindia
Petrol/Gas Station,"China, Taiwan","['689', '881']",campaignindia
Tyre,Regional,"['690', '850']",campaignindia
Sporting Apparel,Korea,"['691', '1387']",campaignindia
Milk,Australia,"['692', '945']",campaignindia
Bank,Japan,"['693', '804']",campaignindia
Jewellery,Regional,"['694', '624']",campaignindia
Courier Company,China,"['695', '897']",campaignindia
Bank,India,"['696', 'New entry']",campaignindia
Coffee,Thailand,"['697', 'New entry']",campaignindia
Spirits,Regional,"['698', '754']",campaignindia
Supermarket,Thailand,"['699', '598']",campaignindia
Supermarket,India,"['700', '697']",campaignindia
Menâs and Womenâs Fashion Retailer,"Malaysia, Singapore","['701', '925']",campaignindia
Personal Care,Australia,"['702', 'New entry']",campaignindia
Savoury Snack Food,Taiwan,"['703', '567']",campaignindia
Tea/Cereal,Korea,"['704', '755']",campaignindia
Toothpaste,China,"['705', 'New entry']",campaignindia
Printer,Regional,"['706', '569']",campaignindia
Fruit Juice,Malaysia,"['707', '740']",campaignindia
Menâs Fashion Retailer,Southeast Asia,"['708', '920']",campaignindia
Jewellery,"China, Hong Kong","['709', '757']",campaignindia
Chewing/Bubble Gum,India,"['710', '627']",campaignindia
Spirits,Regional,"['711', 'New entry']",campaignindia
TV,China,"['712', 'New entry']",campaignindia
Full-service Airlines,Regional,"['713', '619']",campaignindia
Automobile/Car,Regional,"['714', '935']",campaignindia
Insurance,Thailand,"['715', '789']",campaignindia
Beer,Japan,"['716', '656']",campaignindia
Womenâs Shoes,"Malaysia, Singapore","['717', '522']",campaignindia
Sauce/Condiment,Malaysia,"['718', 'New entry']",campaignindia
Mineral Water,Singapore,"['719', '654']",campaignindia
White Goods,"Hong Kong, Malaysia","['720', '730']",campaignindia
Womenâs Shoes,China,"['721', '613']",campaignindia
Milk Powder,Malaysia,"['722', '796']",campaignindia
Instant Noodles,Taiwan,"['723', '852']",campaignindia
Courier Company,India,"['724', '734']",campaignindia
Ready-to-drink Tea,Korea,"['725', 'New entry']",campaignindia
Hotel,"China, Southeast Asia","['726', '937']",campaignindia
Sauce/Condiment,Korea,"['727', '990']",campaignindia
Shampoo,Korea,"['728', '672']",campaignindia
Beer,Thailand,"['729', '690']",campaignindia
Beer,Thailand,"['730', '853']",campaignindia
Menâs and Womenâs Fashion Retailer,Regional,"['731', '515']",campaignindia
Cigarette,Regional,"['732', '609']",campaignindia
Home Audio,Regional,"['733', '477']",campaignindia
Womenâs Fashion Retailer,"China, Southeast Asia","['734', '664']",campaignindia
Beer,China,"['735', '891']",campaignindia
Fragrance/Luxury Fashion Retailer,Regional,"['736', '699']",campaignindia
Restaurant Chain,Japan,"['737', '900']",campaignindia
Chewing/Bubble Gum,Taiwan,"['738', '596']",campaignindia
Detergent,China,"['739', '898']",campaignindia
Instant Noodles,Japan,"['740', '686']",campaignindia
Fragrance,Regional,"['741', '644']",campaignindia
Baby Food (excluding milk powder),"India, Southeast Asia","['742', '517']",campaignindia
Hotel,"Singapore, Thailand","['743', '790']",campaignindia
Spirits,"China, Southeast Asia","['744', '832']",campaignindia
Shoes,Korea,"['745', '879']",campaignindia
Supermarket,Taiwan,"['746', '919']",campaignindia
Mineral Water,India,"['747', '649']",campaignindia
Shower Gel/Soap,"Hong Kong, Japan","['748', '901']",campaignindia
Shower Gel/Soap,Thailand,"['749', '860']",campaignindia
Shampoo,Korea,"['750', 'New entry']",campaignindia
Credit Card/Bank,Taiwan,"['751', '742']",campaignindia
Jewellery,Singapore,"['752', '884']",campaignindia
Supermarket,Taiwan,"['753', '845']",campaignindia
Ice-cream,Australia,"['754', '767']",campaignindia
Automobile/Car,Korea,"['755', '869']",campaignindia
Sweets and Candy,India,"['756', '979']",campaignindia
Mineral Water,Taiwan,"['757', '708']",campaignindia
Mineral Water,Thailand,"['758', '693']",campaignindia
Hotel,Regional,"['759', 'New entry']",campaignindia
Food,China,"['760', 'New entry']",campaignindia
Sauce/Condiment,Korea,"['761', '974']",campaignindia
Pharmacy/Drugstore,"India, Thailand","['762', '573']",campaignindia
Luxury Fashion Retailer/Fragrance,Regional,"['763', '608']",campaignindia
Courier Company,China,"['764', '906']",campaignindia
Hotel,Thailand,"['765', '882']",campaignindia
Cigarette,Regional,"['766', '625']",campaignindia
Menâs Shoes,Thailand,"['767', '799']",campaignindia
Shampoo,Korea,"['768', '929']",campaignindia
Motorcycle,India,"['769', 'New entry']",campaignindia
Chewing/Bubble Gum,"Australia, India","['770', '786']",campaignindia
Coffee,"Malaysia, Singapore","['771', '870']",campaignindia
Chocolate,Taiwan,"['772', '674']",campaignindia
Sweets and Candy,Taiwan,"['773', '714']",campaignindia
Watch,Regional,"['774', '779']",campaignindia
Chewing/Bubble Gum,Regional,"['775', 'New entry']",campaignindia
Food,Regional,"['776', 'New entry']",campaignindia
Tyre,"Australia, India, Southeast Asia","['777', '678']",campaignindia
Ice-cream,Singapore,"['778', 'New entry']",campaignindia
Sporting Apparel,Japan,"['779', 'New entry']",campaignindia
Courier Company,Korea,"['780', 'New entry']",campaignindia
Full-service Airlines,"India, Southeast Asia","['781', '761']",campaignindia
Beer,"Australia, China, Southeast Asia","['782', '877']",campaignindia
Cereal,Australia,"['783', '784']",campaignindia
Restaurant,Singapore,"['784', 'New entry']",campaignindia
Detergent,India,"['785', '848']",campaignindia
Pharmacy/Drugstore,Australia,"['786', '762']",campaignindia
Pharmacy/Drugstore,Singapore,"['787', '772']",campaignindia
Coffee Shop,Korea,"['788', 'New entry']",campaignindia
Computer Software,Regional,"['789', '782']",campaignindia
Home Audio,Regional,"['790', '597']",campaignindia
Cigarette,Regional,"['791', '711']",campaignindia
Tea,Taiwan,"['792', '958']",campaignindia
Social Networking Site,Regional,"['793', '483']",campaignindia
Restaurant Chain,Australia,"['794', '774']",campaignindia
Milk,Japan,"['795', '756']",campaignindia
Toothpaste,Thailand,"['796', 'New entry']",campaignindia
Credit card,Regional,"['797', 'New entry']",campaignindia
Sauce/Condiment,China,"['798', '944']",campaignindia
Hotel,India,"['799', 'New entry']",campaignindia
Milk,Korea,"['800', '741']",campaignindia
Sauce/Condiment,Australia,"['801', 'New entry']",campaignindia
Insurance,Southeast Asia,"['802', '803']",campaignindia
Computer Software,"China, Southeast Asia","['803', '552']",campaignindia
Pet Food,"Australia, Hong Kong","['804', '623']",campaignindia
Petrol/Gas Station,Japan,"['805', '894']",campaignindia
Ice-cream,Regional,"['806', 'New entry']",campaignindia
Food,Japan,"['807', 'New entry']",campaignindia
Chewing/Bubble Gum,Regional,"['808', '939']",campaignindia
Credit Card,Korea,"['809', '603']",campaignindia
Insurance,Japan,"['810', '849']",campaignindia
Cigarette,"Australia, India","['811', '749']",campaignindia
Snack Food,Australia,"['812', '658']",campaignindia
Hotel,Southeast Asia,"['813', '995']",campaignindia
Social Networking Site,"Hong Kong, India, Southeast Asia","['814', '432']",campaignindia
Milk,China,"['815', '907']",campaignindia
Retailer,Australia,"['816', '810']",campaignindia
Male Skincare Product,Regional,"['817', '889']",campaignindia
Pharmacy/Drugstore,Australia,"['818', '743']",campaignindia
Consumer Electronics,"China, Hong Kong","['819', 'New entry']",campaignindia
Womenâs Shoes,Regional,"['820', 'New entry']",campaignindia
Home & Kitchen Appliances,India,"['821', 'New entry']",campaignindia
Jewellery,Singapore,"['822', 'New entry']",campaignindia
Coffee/Coffee shop,Taiwan,"['823', 'New entry']",campaignindia
Air Conditioner,China,"['824', '530']",campaignindia
Sauce/Condiment,Malaysia,"['825', 'New entry']",campaignindia
Hotel,"Hong Kong, Southeast Asia","['826', '768']",campaignindia
Carbonated Soft Drink,Regional,"['827', 'New entry']",campaignindia
Insurance Provider,Regional,"['828', 'New entry']",campaignindia
Washing Machine,Australia,"['829', '679']",campaignindia
Cigarette,Australia,"['830', '966']",campaignindia
Menâs Shoes/Menâs Fashion Retailer,"China, Southeast Asia","['831', '473']",campaignindia
Tea,India,"['832', '780']",campaignindia
Milk,Hong Kong,"['833', 'New entry']",campaignindia
Cigarette,India,"['834', '823']",campaignindia
Bank,China,"['835', 'New entry']",campaignindia
Supermarket,Japan,"['836', '983']",campaignindia
Hotel,Regional,"['837', '681']",campaignindia
Mobile Service Provider,Hong Kong,"['838', 'New entry']",campaignindia
Cereal,Regional,"['839', 'New entry']",campaignindia
Insurance,Australia,"['840', '820']",campaignindia
Instant Noodles,Australia,"['841', 'New entry']",campaignindia
Airlines (Budget/Full service),China,"['842', 'New entry']",campaignindia
Sauce/Condiment,Thailand,"['843', '857']",campaignindia
Milk,India,"['844', '969']",campaignindia
Coffee Shop,Australia,"['845', '808']",campaignindia
Menâs Fashion Retailer,Japan,"['846', '801']",campaignindia
Fashion,Regional,"['847', 'New entry']",campaignindia
Cigarette,Taiwan,"['848', '665']",campaignindia
Sweets and Candy,Australia,"['849', 'New entry']",campaignindia
Restaurant Chain,Thailand,"['850', '910']",campaignindia
Beer,India,"['851', '999']",campaignindia
Air Conditioner,"India, Australia","['852', '988']",campaignindia
Supermarket,Singapore,"['853', 'New entry']",campaignindia
Computer,Korea,"['854', 'New entry']",campaignindia
Detergent,China,"['855', 'New entry']",campaignindia
Supermarket,Australia,"['856', '566']",campaignindia
Spirits,Regional,"['857', '687']",campaignindia
Bank,Taiwan,"['858', '813']",campaignindia
Savoury Snack Food,Australia,"['859', 'New entry']",campaignindia
Jewellery,Australia,"['860', '943']",campaignindia
Cereal,Australia,"['861', '560']",campaignindia
Savoury Snack Food,Regional,"['862', 'New entry']",campaignindia
Hotel,"Japan, Thailand","['863', '856']",campaignindia
Insurance Provider,India,"['864', 'New entry']",campaignindia
Shoes,"Malaysia, Singapore","['865', '916']",campaignindia
Sports Drink,Taiwan,"['866', 'New entry']",campaignindia
Carbonated Soft Drink,Japan,"['867', 'New entry']",campaignindia
Restaurant,China,"['868', 'New entry']",campaignindia
Menâs Fashion Retailer,India,"['869', '976']",campaignindia
Detergent,Regional,"['870', '986']",campaignindia
Consumer Electronics,Taiwan,"['871', 'New entry']",campaignindia
Home Audio,Regional,"['872', '880']",campaignindia
Savoury Snack Food,Southeast Asia,"['873', '994']",campaignindia
Restaurant,"India, Malaysia, Singapore","['874', 'New entry']",campaignindia
Sporting Apparel,Regional,"['875', 'New entry']",campaignindia
Coffee,Malaysia,"['876', 'New entry']",campaignindia
Budget Airlines,Korea,"['877', '840']",campaignindia
Shower Gel/Soap,Korea,"['878', '628']",campaignindia
Menâs and Womenâs Fashion Retailer,"China, Southeast Asia","['879', '634']",campaignindia
Coffee,Thailand,"['880', 'New entry']",campaignindia
Pharmacy/Drugstore,Australia,"['881', '890']",campaignindia
Credit Card,Thailand,"['882', '938']",campaignindia
Womenâs Shoes,"Malaysia, Singapore","['883', '677']",campaignindia
Toothpaste,Korea,"['884', '758']",campaignindia
Food,Regional,"['885', 'New entry']",campaignindia
Womenâs Shoes,"Singapore, Hong Kong","['886', 'New entry']",campaignindia
Shower Gel/Soap,Korea,"['887', 'New entry']",campaignindia
Ice-cream,Regional,"['888', 'New entry']",campaignindia
Cosmetics/Skincare Product,Regional,"['889', 'New entry']",campaignindia
Milk,"China, Taiwan","['890', '899']",campaignindia
Hotel,Taiwan,"['891', 'New entry']",campaignindia
Motorcycle,Korea,"['892', 'New entry']",campaignindia
Menâs Fashion Retailer,Australia,"['893', '865']",campaignindia
Sporting Apparel,Korea,"['894', 'New entry']",campaignindia
Chewing/Bubble Gum/Sweets and Candy,Southeast Asia,"['895', '751']",campaignindia
Tea,Regional,"['896', '447']",campaignindia
Beer,Korea,"['897', '817']",campaignindia
Toothpaste,"Hong Kong, China, Japan","['898', 'New entry']",campaignindia
Social Networking Site/Internet Search Engine,Korea,"['899', '652']",campaignindia
Social Networking Site,China,"['900', '402']",campaignindia
Insurance,Japan,"['901', '912']",campaignindia
Shampoo,China,"['902', 'New entry']",campaignindia
Digital Products,China,"['903', 'New entry']",campaignindia
Sweets and Candy,Japan,"['904', 'New entry']",campaignindia
Sauce/Condiment,"Japan, Korea, Southeast Asia","['905', '747']",campaignindia
Coffee,"Japan, Korea, Singapore","['906', '942']",campaignindia
TV,Taiwan,"['907', 'New entry']",campaignindia
Beer,Australia,"['908', 'New entry']",campaignindia
Motorcycle,Korea,"['909', '816']",campaignindia
Personal care,Regional,"['910', 'New entry']",campaignindia
Female Skincare Product,Korea,"['911', '924']",campaignindia
Courier Company,Australia,"['912', 'New entry']",campaignindia
Supermarket,Korea,"['913', '600']",campaignindia
Mineral Water,India,"['914', 'New entry']",campaignindia
Female Skincare Product,"Hong Kong, Singapore","['915', '824']",campaignindia
Automobile/Car,Malaysia,"['916', 'New entry']",campaignindia
Personal care,Regional,"['917', 'New entry']",campaignindia
Instant Noodles,China,"['918', 'New entry']",campaignindia
Spirits,Regional,"['919', '655']",campaignindia
Pharmacy/Drugstore,Australia,"['920', '750']",campaignindia
Baby Food (excluding milk powder),Regional,"['921', '445']",campaignindia
Menâs and Womenâs Fashion Retailer,"China, Hong Kong, Japan","['922', '621']",campaignindia
Detergent,Regional,"['923', 'New entry']",campaignindia
Ice-cream,Korea,"['924', 'New entry']",campaignindia
Instant Noodles,Southeast Asia,"['925', 'New entry']",campaignindia
Beer,Australia,"['926', '878']",campaignindia
Savoury snack food,Japan,"['927', 'New entry']",campaignindia
Baby Food (excluding milk powder),"Japan, Korea","['928', '666']",campaignindia
Jewellery,Australia,"['929', 'New entry']",campaignindia
Menâs Shoes,Regional,"['930', 'New entry']",campaignindia
Ice-cream,Regional,"['931', 'New entry']",campaignindia
Chewing/Bubble Gum,"China, Hong Kong","['932', '858']",campaignindia
Dairy Products,Regional,"['933', 'New entry']",campaignindia
Toothpaste,Regional,"['934', 'New entry']",campaignindia
Ice-cream,Taiwan,"['935', '618']",campaignindia
Chewing/Bubble Gum,India,"['936', '647']",campaignindia
Sports Drink,Thailand,"['937', 'New entry']",campaignindia
Toothpaste,India,"['938', 'New entry']",campaignindia
Bank,China,"['939', 'New entry']",campaignindia
Supermarket,Hong Kong,"['940', 'New entry']",campaignindia
Pet Food,"Australia, Hong Kong","['941', '864']",campaignindia
Chocolate,"Hong Kong, Singapore","['942', 'New entry']",campaignindia
Detergent,Australia,"['943', '905']",campaignindia
Jewellery,Singapore,"['944', '960']",campaignindia
Financial Service,Australia,"['945', 'New entry']",campaignindia
Sauce/Condiment,Korea,"['946', '904']",campaignindia
Beer,Australia,"['947', 'New entry']",campaignindia
Restaurant Chain,Thailand,"['948', '955']",campaignindia
Sports Drink,Malaysia,"['949', '766']",campaignindia
Fruit Juice,India,"['950', 'New entry']",campaignindia
Ready-to-drink Tea,Singapore,"['951', 'New entry']",campaignindia
Bank,Australia,"['952', 'New entry']",campaignindia
Male Skincare Product,India,"['953', '961']",campaignindia
Restaurant Chain,Japan,"['954', 'New entry']",campaignindia
Bank,China,"['955', 'New entry']",campaignindia
Digital Products,Regional,"['956', 'New entry']",campaignindia
Consumer Electronics,Regional,"['957', 'New entry']",campaignindia
Sweets and Candy,Australia,"['958', '998']",campaignindia
Fruit Juice,Taiwan,"['959', '922']",campaignindia
Pet Food,"Japan, Korea, Southeast Asia","['960', '643']",campaignindia
Pet Food,"China, Taiwan","['961', '873']",campaignindia
Shampoo,Regional,"['962', 'New entry']",campaignindia
Food,Japan,"['963', 'New entry']",campaignindia
Ice-cream,China,"['964', 'New entry']",campaignindia
Fragrance/Menâs Fashion Retailer,Regional,"['965', '721']",campaignindia
Coffee Shop,Thailand,"['966', 'New entry']",campaignindia
Shampoo,Korea,"['967', 'New entry']",campaignindia
Baby Product,Regional,"['968', 'New entry']",campaignindia
Carbonated Soft Drink,India,"['969', '792']",campaignindia
Restaurant Chain,Australia,"['970', 'New entry']",campaignindia
Spirits,Taiwan,"['971', '867']",campaignindia
Bank,"China, Hong Kong","['972', 'New entry']",campaignindia
Shower Gel/Soap,"Malaysia, Singapore","['973', '911']",campaignindia
Insurance,Taiwan,"['974', '872']",campaignindia
Courier Company,Regional,"['975', 'New entry']",campaignindia
Hotel,Thailand,"['976', 'New entry']",campaignindia
Menâs and Womenâs Fashion Retailer,"China, Hong Kong","['977', '729']",campaignindia
Courier Company,Australia,"['978', 'New entry']",campaignindia
Ready-to-drink Tea,Japan,"['979', 'New entry']",campaignindia
Fast-Food,Japan,"['980', 'New entry']",campaignindia
Convenience Store,Malaysia,"['981', 'New entry']",campaignindia
Beer,Australia,"['982', '921']",campaignindia
Courier Company,India,"['983', 'New entry']",campaignindia
Beer,Australia,"['984', 'New entry']",campaignindia
Bank,Korea,"['985', 'New entry']",campaignindia
Personal Care/Menâs Shoes,India,"['986', 'New entry']",campaignindia
DVD Player,"China, India, Japan","['987', '902']",campaignindia
Ice-cream,Regional,"['988', 'New entry']",campaignindia
Coffee,Regional,"['989', 'New entry']",campaignindia
Jewellery/Watch,"Singapore, Australia","['990', 'New entry']",campaignindia
Ice-cream,India,"['991', 'New entry']",campaignindia
Insurance,Regional,"['992', 'New entry']",campaignindia
Cigarette,China,"['993', 'New entry']",campaignindia
Spirits,Regional,"['994', 'New entry']",campaignindia
Chocolate,China,"['995', '928']",campaignindia
Dairy Products,Australia,"['996', 'New entry']",campaignindia
Supermarket,India,"['997', 'New entry']",campaignindia
Beer,Regional,"['998', 'New entry']",campaignindia
Fruit Juice,Australia,"['999', 'New entry']",campaignindia
Male Skincare Product,Regional,"['1000', '953']",campaignindia
