strategy_name,total_pairs,matches_strict,matches_moderate,matches_relaxed,avg_similarity_strict,avg_similarity_moderate,reduction_ratio,execution_time,sample_matches,category,threshold_level,score
Name Block,4473,21,21,44,0.8999999999999998,0.8999999999999998,0.9996420884176835,0.03229546546936035,"[{'level_0': 35706, 'level_1': 34661, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 36521, 'level_1': 36184, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 33242, 'level_1': 32855, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 40879, 'level_1': 38012, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 40403, 'level_1': 37257, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}]",single_field,strict,0.8618709009136875
Country Block,2560701,57,58,334,0.9052631578947369,0.9034482758620691,0.7951029405881176,15.82038950920105,"[{'level_0': 35706, 'level_1': 34661, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 34385, 'level_1': 34955, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 40845, 'level_1': 40839, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 38107, 'level_1': 40899, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 41297, 'level_1': 40623, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}]",single_field,strict,0.6345456216310281
Industry Block,501691,56,56,134,0.9053571428571429,0.9053571428571429,0.9598566913382677,2.6204607486724854,"[{'level_0': 35706, 'level_1': 34661, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 40845, 'level_1': 40839, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 38404, 'level_1': 41280, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 38107, 'level_1': 40899, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 38583, 'level_1': 37562, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}]",single_field,strict,0.7273022365685039
City Block,10852698,54,55,312,0.9055555555555556,0.9036363636363636,0.13161048209641923,78.21787023544312,"[{'level_0': 31356, 'level_1': 30081, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 40403, 'level_1': 37257, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 33242, 'level_1': 32855, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 28073, 'level_1': 29835, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 30634, 'level_1': 28042, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}]",single_field,strict,0.4250310004046876
Website,19,15,15,15,0.9000000000000001,0.9000000000000001,0.9999984796959391,0.009885787963867188,"[{'level_0': 40879, 'level_1': 38012, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 40403, 'level_1': 37257, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 38404, 'level_1': 41280, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 37730, 'level_1': 40570, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 40730, 'level_1': 38800, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}]",single_field,strict,0.8639240936841569
Company SNM-3,9574,37,37,156,0.9027027027027025,0.9027027027027025,0.999233926785357,0.07471179962158203,"[{'level_0': 31356, 'level_1': 30081, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 28073, 'level_1': 29835, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 40845, 'level_1': 40839, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 37862, 'level_1': 40714, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 34040, 'level_1': 32032, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}]",single_field,strict,0.8614574658789275
Name-Employees,6131,22,22,45,0.8999999999999997,0.8999999999999997,0.9995094218843769,0.04273509979248047,"[{'level_0': 32693, 'level_1': 32805, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 33242, 'level_1': 32855, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 34040, 'level_1': 32032, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 34385, 'level_1': 34955, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 35168, 'level_1': 32086, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}]",multi_field,strict,0.8602835457389433
Name-Website,4478,22,22,45,0.8999999999999997,0.8999999999999997,0.9996416883376675,0.03129768371582031,"[{'level_0': 7780, 'level_1': 9165, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 32693, 'level_1': 32805, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 33242, 'level_1': 32855, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 34385, 'level_1': 34955, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 35168, 'level_1': 32086, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}]",multi_field,strict,0.8624503843196442
Country-Industry,2829113,57,58,348,0.9052631578947369,0.903448275862069,0.7736256851370273,16.771713733673096,"[{'level_0': 770, 'level_1': 6034, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 0.0, 'city_sim': 1.0, 'weighted_score': 0.7999999999999999}, {'level_0': 1162, 'level_1': 2098, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 3270, 'level_1': 9998, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 3502, 'level_1': 8479, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 4816, 'level_1': 640, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}]",multi_field,strict,0.6274659526374557
Country-Name,2674631,57,58,353,0.9052631578947369,0.903448275862069,0.7859867173434687,18.73092007637024,"[{'level_0': 770, 'level_1': 6034, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 0.0, 'city_sim': 1.0, 'weighted_score': 0.7999999999999999}, {'level_0': 1162, 'level_1': 2098, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 3270, 'level_1': 9998, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 3502, 'level_1': 8479, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 4816, 'level_1': 640, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}]",multi_field,strict,0.630056798334226
Name-Website-Country,2675500,57,58,353,0.9052631578947369,0.903448275862069,0.7859171834366874,16.16655659675598,"[{'level_0': 770, 'level_1': 6034, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 0.0, 'city_sim': 1.0, 'weighted_score': 0.7999999999999999}, {'level_0': 1162, 'level_1': 2098, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 3270, 'level_1': 9998, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 3502, 'level_1': 8479, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 4816, 'level_1': 640, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}]",complex,strict,0.6315501235534638
Name Block,4473,21,21,45,0.8999999999999998,0.8999999999999998,0.9996420884176835,0.028326034545898438,"[{'level_0': 35706, 'level_1': 34661, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 36521, 'level_1': 36184, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 33242, 'level_1': 32855, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 40879, 'level_1': 38012, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 40403, 'level_1': 37257, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}]",single_field,moderate,0.8626187662319375
Country Block,2560701,102,109,887,0.9058823529411769,0.8990825688073399,0.7951029405881176,15.017940759658813,"[{'level_0': 35706, 'level_1': 34661, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 34385, 'level_1': 34955, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 40845, 'level_1': 40839, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 37255, 'level_1': 38008, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 40638, 'level_1': 39367, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}]",single_field,moderate,0.653395007218851
Industry Block,501691,100,100,319,0.9060000000000004,0.9060000000000004,0.9598566913382677,2.5421054363250732,"[{'level_0': 35706, 'level_1': 34661, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 40845, 'level_1': 40839, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 36852, 'level_1': 38694, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 37255, 'level_1': 38008, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 40418, 'level_1': 38700, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}]",single_field,moderate,0.7460362867551108
City Block,10852698,97,104,841,0.9061855670103095,0.8990384615384618,0.13161048209641923,80.46910977363586,"[{'level_0': 31356, 'level_1': 30081, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 40403, 'level_1': 37257, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 33242, 'level_1': 32855, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 28073, 'level_1': 29835, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 30634, 'level_1': 28042, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}]",single_field,moderate,0.4423377611658594
Website,19,16,17,18,0.9062499999999999,0.8999999999999999,0.9999984796959391,0.011780500411987305,"[{'level_0': 40879, 'level_1': 38012, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 40403, 'level_1': 37257, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 9935, 'level_1': 6750, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 0.0, 'city_sim': 1.0, 'weighted_score': 0.7999999999999999}, {'level_0': 38404, 'level_1': 41280, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}, {'level_0': 37730, 'level_1': 40570, 'name_sim': 1.0, 'country_sim': 1.0, 'industry_sim': 1.0, 'city_sim': 0.0, 'weighted_score': 0.8999999999999999}]",single_field,moderate,0.8643375433581636
